1998-02-04,[[-1, 0.99998222011798688]]
1998-02-04,[[1, 0.92209200273890535]]
1998-02-04,[[0, 0.96409710534978488]]
1998-02-04,[[-1, 0.99943145895433549]]
1998-02-04,[[-1, 0.99999989577407078]]
1998-03-31,[[0, 0.99379018120827634]]
1998-03-31,[[1, 0.99793061586668863]]
1998-03-31,[[1, 0.99966330050193786]]
1998-05-19,[[-1, 0.99996464627648085]]
1998-05-19,[]
1998-05-19,[[0, 0.93518724246969054]]
1998-05-19,[[-1, 0.9914795212852876]]
1998-05-19,[[-1, 0.99948641366780944], [1, 0.26538619161640309]]
1998-07-01,[[0, 0.96963315333823274]]
1998-07-01,[[0, 0.63920901335876545], [1, 0.58962719159142929]]
1998-07-01,[[-1, 0.99116301558731656]]
1998-07-01,[]
1998-07-01,[[1, 0.71618176485175777], [-1, 0.67045618378755656]]
1998-07-01,[[0, 0.94498972821398963]]
1998-08-18,[[-1, 0.95521158012466834], [1, 0.43584880890479361]]
1998-08-18,[[1, 0.9228304454874714], [-1, 0.77193872459762303]]
1998-08-18,[[1, 0.99996090532166115]]
1998-08-18,[[0, 0.46061211048442235]]
1998-08-18,[[1, 0.95167727862068585]]
1998-08-18,[[-1, 0.99822319136931248]]
1998-09-29,[[0, 0.69843935738955876]]
1998-09-29,[[-1, 0.93489026527643082]]
1998-09-29,[[1, 0.99886204876535545]]
1998-09-29,[[1, 0.94867703134192838]]
1998-09-29,[[-1, 0.52645999685044109]]
1998-11-17,[[0, 0.81988579407683693]]
1998-11-17,[[-1, 0.92420985752290552]]
1998-11-17,[[-1, 0.9996714203801268]]
1998-11-17,[[-1, 0.95542826484448529], [1, 0.25670552940083208]]
1998-11-17,[[-1, 0.96095044786252126]]
1998-12-22,[[-1, 0.99761784769806272], [0, 0.20156550833710132]]
1998-12-22,[[0, 0.71248062956282976], [-1, 0.21566994517875523]]
1998-12-22,[[1, 0.9883416311686557], [-1, 0.2869081920430992]]
1998-12-22,[[-1, 0.99610818244042798], [1, 0.28170735905936506]]
1999-02-02,[]
1999-02-02,[[0, 0.63548402899757628]]
1999-02-02,[[0, 0.96419617571524463], [1, 0.82208665691027449]]
1999-02-02,[[-1, 0.99999864017741358]]
1999-03-30,[[1, 0.99999999672726192]]
1999-03-30,[[-1, 0.85887447209999557], [1, 0.69349153252297124]]
1999-03-30,[[-1, 0.99963762202554673]]
1999-03-30,[[1, 0.29199591250085244]]
1999-03-30,[[1, 0.9992062871753189], [-1, 0.8445601257966765]]
1999-03-30,[[-1, 0.94240166037173345]]
1999-03-30,[[1, 0.96205380822809472]]
1999-05-18,[[1, 0.23411148082399494]]
1999-05-18,[[1, 0.95001766989079106]]
1999-05-18,[[-1, 0.99941729046693628]]
1999-05-18,[[-1, 0.99834958806984508]]
1999-05-18,[[1, 0.90991011556628698]]
1999-06-30,[[-1, 0.97765027056890774]]
1999-06-30,[[1, 0.99826964432510201], [-1, 0.50521332635828176]]
1999-06-30,[[-1, 0.42937179478974097]]
1999-06-30,[[1, 0.94961327364170045]]
1999-08-24,[]
1999-08-24,[[-1, 0.99999959189448462]]
1999-08-24,[[1, 0.23920387317760095]]
1999-08-24,[[-1, 0.97065403718170185]]
1999-08-24,[[0, 0.99942842705434043]]
1999-08-24,[]
1999-08-24,[[1, 0.92071833419868432], [0, 0.44556899188022953]]
1999-08-24,[[-1, 0.92933702429937048]]
1999-08-24,[[-1, 0.96410288465307181]]
1999-08-24,[[-1, 0.9943186717132857], [0, 0.27950883894471534]]
1999-10-05,[[1, 0.99908614930875983]]
1999-10-05,[[0, 0.82864027003157315]]
1999-10-05,[[-1, 0.998859092906067]]
1999-10-05,[[0, 0.72180105525373561]]
1999-10-05,[[-1, 0.99994039659443146]]
1999-10-05,[[-1, 0.99999999706052289]]
1999-10-05,[[-1, 0.92913523356837224]]
1999-11-16,[[-1, 0.7046975559101305]]
1999-11-16,[]
1999-11-16,[[-1, 0.54438882038116143], [1, 0.30649044398116687]]
1999-11-16,[[-1, 0.99569766668056525]]
1999-11-16,[[-1, 0.99983201690680401]]
1999-11-16,[[-1, 0.90303822466991535], [0, 0.20568106457120855]]
1999-12-21,[[1, 0.93519993905121102], [-1, 0.53182493064831426]]
1999-12-21,[[-1, 0.98077809035046204]]
1999-12-21,[]
2000-02-02,[[-1, 0.4535925626447162], [0, 0.21891865865184446]]
2000-02-02,[[-1, 0.76461701410204719], [1, 0.51229869184926857]]
2000-02-02,[[1, 0.99998561317326784]]
2000-03-21,[[1, 0.94017322632988831]]
2000-03-21,[[1, 0.99992877460861584]]
2000-03-21,[[-1, 0.8090754892823816]]
2000-03-21,[[0, 0.82330118115549933]]
2000-03-21,[[1, 0.92728107927716463], [-1, 0.68613246593811861]]
2000-03-21,[[-1, 0.99968997655087599], [1, 0.49197137737162583]]
2000-03-21,[[0, 0.99732476431351935]]
2000-03-21,[[0, 0.97121633918702321], [1, 0.72602087593170106]]
2000-03-21,[[-1, 0.94655012722629339]]
2000-03-21,[[1, 0.78402945879415964]]
2000-03-21,[[-1, 0.6648902430652176]]
2000-03-21,[[-1, 0.92920949238217843], [0, 0.75540935423192845]]
2000-03-21,[[-1, 0.86107300595502956]]
2000-03-21,[[-1, 0.93203658873842521]]
2000-05-16,[[-1, 0.99963281732972253], [1, 0.9952668399384258]]
2000-05-16,[[1, 0.89381311303196609]]
2000-05-16,[[-1, 0.37385421419645426]]
2000-05-16,[[-1, 0.98928988586200273]]
2000-05-16,[[-1, 0.8454956722586785]]
2000-05-16,[[1, 0.21254358525142078]]
