Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.259995,157.210007,77.699997,102.889999,109.75,44.91,133.429993,43.310001,168.160004,953.289978,61.779999,249.619995,222.479996,283.149994,80.599998,32.560001,127.43,64.93,107.440002,396.450012,52.18,133.869995,30.68,135.639999,40.799999,48.700001,69.519997,22.34,21.09,56.650002,74.25,116.839996,34.240002,60.330002,145.029999,39.970001,167.779999,120.769997,26.889999,27.370001,61.130001,906.659973,31.459999,94.839996,85.410004,37.630001,190.679993,120.889999,34.919998,135.910004,327.566681,97.349998,41.259998,89.010002,32.689999,5.52,33.709999,21.120001,241.949997,99.080002,16.42,43.110001,54.360001,72.150002,197.800003,43.709999,62.830002,55.860001,166.759995,274.73999,159.149994,55.77,1801.540039,51.98,469.73999,58.560001,140.850006,101.010002,53.150002,54.759998,81.07,5786.540039
-0.40796918,-2.8841493,0.123582095,-0.33447134,2.163136,-0.6933781,0.20129997,-3.6028407,-1.7259034,-0.4604304,2.7562408,-2.971904,2.376129,-1.3926249,2.0436091,-1.8479424,-3.4970024,-0.36197066,2.6310503,1.283467,0.56721354,-0.53029114,0.9762062,-1.3036171,2.3159797,-0.8300163,0.60156393,1.5426848,1.6363853,-0.009977284,-4.0400596,1.1369299,1.9891765,1.392778,-0.7137787,-2.9209244,0.9019333,-1.618327,0.5223315,0.39158958,-1.465612,-3.071795,-0.57829154,-1.6552607,-0.3899654,-1.5248044,2.7854311,2.2932541,2.4511454,-1.0743858,-0.25555384,1.5279441,0.31261876,1.8059003,1.0996677,1.3080981,2.9116333,-1.4878472,0.5428701,-2.455963,-2.2173724,-1.0648876,-1.1587683,2.5502264,0.3141915,3.9274058,0.66545254,-0.7706368,2.890021,1.8760262,1.3586774,1.3154626,-0.9828509,-2.9455974,-1.0373292,-2.5269554,4.020244,-0.15282348,-0.9989262,-1.2206358,3.312207,0.7797145,1.3156347,-1.979044,1.5803901,2.0698092,-4.924792,1.4019748,-0.42587098,0.08254412,-0.54266655,-1.7199017,-1.4552001,1.6567317,3.0686693,0.079715945,-0.47574478,2.6436508,-0.47628006,-0.77555287,-2.2611222,1.7879003,-0.90937173,-1.4129776,3.5112803,-2.9967546,-0.43432376,1.4246752,-1.0514191,4.800282,-1.3792447,-0.9287211,-1.0874237,-1.2350087,1.6702924,-0.77760035,2.9717112,2.6355796,-3.1612625,1.8127242,1.0003669,2.3896942,0.62038624,1.6912787,2.1182175,1.5278476,-1.3533981,3.398804,2.1874719,0.6572187,-1.5998327,-0.36220682,-0.5780704,-2.466058,-0.22385105,0.3563582,0.97230947,1.460588,-2.727743,-2.2980976,-0.012769426,-0.4457502,-0.15484662,2.0082405,-1.471495,0.1500756,2.28649,-1.552463,-2.2328656,-1.5733155,152.25,159.779999,79.169998,103.720001,111.010002,45.810001,138.199997,44.450001,170.070007,966.900024,64.260002,255.190002,226.110001,286.720001,81.459999,32.509998,130.289993,65.370003,108.910004,397.049988,52.509998,135.259995,31.27,136.149994,41.349998,49.919998,70.150002,22.49,21.219999,57.450001,74.949997,119.029999,34.810001,61.619999,147.610001,41.400002,169.639999,122.620003,26.98,27.43,61.34,924.690002,32.290001,94.550003,85.650002,37.599998,194.759995,123.860001,34.650002,138.149994,332.200012,97.900002,42.150002,91.699997,33.290001,5.67,34.389999,21.4,243.289993,102,16.309999,43.439999,55.380001,73.160004,197.990005,44.389999,64.379997,56.900002,169.339996,277,162.550003,56.110001,1818.199951,52.349998,478.649994,59.189999,143.160004,103.010002,54.450001,56.169998,82.050003,5873.330078
-0.27840918,-1.9491948,0.0869103,-0.22451468,1.4622759,-0.47139716,0.13240176,-2.4393322,-1.1659296,-0.30958778,1.8665671,-2.0137236,1.608015,-0.9415772,1.3853458,-1.25348,-2.3683164,-0.24266143,1.7779824,0.8671636,0.38277555,-0.36313456,0.659045,-0.8807447,1.5665237,-0.5598709,0.40478587,1.0423495,1.111113,-0.006947728,-2.7343702,0.7684207,1.3474045,0.9399816,-0.47871298,-1.9778925,0.6081631,-1.0948038,0.35210446,0.2621042,-0.98556066,-2.0719864,-0.39032593,-1.1177353,-0.26299852,-1.0285677,1.8828454,1.5465236,1.657367,-0.72753036,-0.16955611,1.0342765,0.21356942,1.2197235,0.74507976,0.88631123,1.9684445,-1.006948,0.3707283,-1.6572698,-1.4933605,-0.7230405,-0.7827816,1.7278767,0.211791,2.65501,0.4477877,-0.5211723,1.9507043,1.2706267,0.9185208,0.89226854,-0.6643403,-1.9946114,-0.6990634,-1.7070358,2.7142148,-0.09918186,-0.6796593,-0.8241326,2.24133,0.527489,0.8873347,-1.3390075,1.064504,1.3980587,-3.3280222,0.94832534,-0.28600168,0.053695556,-0.36470303,-1.1595664,-0.98227894,1.1193231,2.0758271,0.051123276,-0.31626832,1.7845746,-0.3197485,-0.5279832,-1.5290564,1.2056096,-0.6131251,-0.9541946,2.373118,-2.022097,-0.28966287,0.96066505,-0.7105863,3.2426374,-0.9329095,-0.6255926,-0.73578405,-0.83017033,1.1268109,-0.5262228,2.006344,1.7807205,-2.1300914,1.2196387,0.6759817,1.6142272,0.4203116,1.1393455,1.4298247,1.0315455,-0.9136864,2.2939901,1.4702114,0.44494706,-1.0792526,-0.24322985,-0.3871085,-1.6613743,-0.15198514,0.23710524,0.6593048,0.9798904,-1.8375072,-1.5528425,-0.012475973,-0.2975048,-0.10199394,1.3527106,-0.9938764,0.103085026,1.5418626,-1.0464969,-1.5052404,-1.0566163,151.100006,159.979996,79.07,103.459999,110.650002,45.419998,135.669998,44.02,169,958,64.010002,256.920013,224.990005,282.640015,81.400002,32.389999,129.190002,64.769997,108.059998,390.329987,53.310001,134.050003,30.92,134.75,40.650002,48.869999,70.019997,22.49,21.200001,57.279999,74.32,118.18,34.889999,60.93,148.089996,41.16,168.710007,122.150002,26.66,27.15,64.010002,927,31.01,93.919998,85.230003,37.189999,193.619995,123.650002,34.66,135.520004,328.890015,97.089996,42.439999,91.449997,32.619999,5.56,33.639999,21.16,243.539993,100.43,16.040001,43.099998,55.16,72.720001,195.259995,44.830002,64,57.150002,169.059998,276.059998,165.800003,55.77,1813.02002,52.23,477.149994,58.919998,142.839996,102.709999,54.080002,57.040001,81.209999,5851.779785
-0.29187605,-2.0782497,0.09161149,-0.23794615,1.5562831,-0.49661934,0.14429785,-2.5940003,-1.2416188,-0.32985792,1.9832677,-2.1397438,1.7151068,-1.0048711,1.4779434,-1.3331071,-2.520675,-0.26139274,1.8948375,0.9236858,0.4094068,-0.3837816,0.7066082,-0.9390673,1.6669363,-0.59438896,0.43193004,1.1123565,1.1836281,-0.005536389,-2.9099233,0.8151082,1.4331295,1.0034131,-0.51339185,-2.104535,0.6490879,-1.1647751,0.37551355,0.28145686,-1.0569619,-2.2134733,-0.41493243,-1.1923885,-0.27870002,-1.0975182,2.0062575,1.6497275,1.7692854,-0.77642757,-0.18504418,1.0995153,0.22665176,1.2985017,0.7911576,0.9472091,2.1013682,-1.0748446,0.39212897,-1.7717352,-1.5972464,-0.7707166,-0.83123255,1.8421386,0.2257896,2.8320937,0.47901934,-0.5560131,2.0825381,1.3515654,0.9825278,0.95155597,-0.7080191,-2.1222694,-0.74706936,-1.8205703,2.8972306,-0.109099485,-0.71875286,-0.87963045,2.385675,0.56263465,0.9493898,-1.4259217,1.140709,1.4963635,-3.5489352,1.0113659,-0.30975246,0.06249384,-0.38779807,-1.2360097,-1.0467074,1.1961744,2.2142808,0.058090176,-0.33877262,1.9032319,-0.34015706,-0.55707383,-1.6306974,1.2861861,-0.6566032,-1.0183201,2.5274622,-2.1561885,-0.310001,1.0254371,-0.7577096,3.459804,-0.996622,-0.66853577,-0.7845379,-0.88979167,1.2064779,-0.5615594,2.1369345,1.899849,-2.2786155,1.3055615,0.7212679,1.7187785,0.44364074,1.2204151,1.5235332,1.0955166,-0.97563434,2.4478967,1.571693,0.471911,-1.1482241,-0.26231912,-0.41619253,-1.7705413,-0.15900025,0.25448593,0.70269185,1.0488523,-1.9597945,-1.6495596,-0.012869292,-0.3175417,-0.11257264,1.4413272,-1.0548763,0.10523489,1.6384969,-1.1128942,-1.6022477,-1.1297122,150.809998,159.270004,79.269997,104.589996,110.610001,45.23,137.779999,43.720001,169.949997,952.450012,63.43,255.050003,224.860001,285.450012,82.449997,32.419998,130.050003,65.050003,109.169998,389.230011,52.849998,133.199997,31.24,134.100006,40.139999,48.380001,69.82,22.52,21.25,57.310001,78.5,117.82,34.880001,60.509998,149.940002,41.150002,167.740005,121.510002,26.610001,27.1,64.230003,921.280029,31.02,95.050003,85.529999,37.540001,193.960007,123.82,34.709999,135.330002,330.193329,96.559998,42.07,90.300003,32.599998,5.58,33.529999,21.719999,243.619995,99.949997,16.24,41.880001,54.98,72.690002,196.440002,45.669998,63.970001,57.73,168.130005,270.579987,165.190002,55.540001,1815.51001,52.490002,485.26001,58.330002,142.699997,102.5,53.939999,57.689999,80.260002,5834.439941
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.449997,159.860001,78.970001,104.589996,114.970001,44.98,137.539993,43.310001,169.740005,945.26001,62.580002,245.589996,225.550003,285.059998,81.879997,32.5,129.679993,65.25,108.709999,388.790009,52.48,133.820007,31.440001,134.649994,40.200001,48.849998,69.779999,22.66,21.389999,56.639999,80.389999,116.93,34.68,60.790001,149.259995,41.459999,166.320007,122.32,26.719999,27.25,64.75,915.890015,31.25,95.199997,85.785004,37.91,192.190002,121.760002,34.669998,137.350006,326.209991,97.660004,40.869999,90.480003,32.740002,5.58,33.75,21.860001,246.410004,100.660004,16.469999,41.48,55.220001,72.82,202.279999,45.040001,63.740002,57.720001,165.949997,267.350006,163.809998,56.220001,1793.47998,52.029999,477.799988,59.380001,144.600006,101.980003,54.360001,59.580002,79.669998,5822.529785
-0.32339585,-2.2878163,0.1012187,-0.26199117,1.7191043,-0.5495441,0.16065751,-2.8613744,-1.3703383,-0.36651358,2.189033,-2.356981,1.8888167,-1.1016421,1.6236894,-1.4671439,-2.7791107,-0.28719297,2.0883818,1.0186967,0.4506259,-0.42571303,0.7759264,-1.0357692,1.8376507,-0.65642035,0.47567514,1.2222626,1.3004079,-0.009343901,-3.2023234,0.89943016,1.5779111,1.1049985,-0.5664186,-2.318725,0.71588314,-1.2853447,0.41241503,0.30883425,-1.1607932,-2.4255402,-0.4550067,-1.3124318,-0.30744094,-1.2069604,2.207359,1.8137355,1.9434946,-0.8512883,-0.19783746,1.2085595,0.24964269,1.4344348,0.87276775,1.0382634,2.3086653,-1.182622,0.43381125,-1.9495428,-1.751187,-0.84805906,-0.91776365,2.0226684,0.2464628,3.1096177,0.527549,-0.6105314,2.288563,1.4851792,1.0776471,1.0464346,-0.78051716,-2.3378172,-0.8248333,-1.9997153,3.1828775,-0.118991554,-0.79243934,-0.9710983,2.624006,0.6164701,1.0421771,-1.5734731,1.2538662,1.64083,-3.8995304,1.1138372,-0.33663738,0.06546041,-0.4280009,-1.3644392,-1.1533449,1.3164605,2.4326034,0.06446013,-0.3715824,2.0920358,-0.37505352,-0.617628,-1.7892094,1.4152908,-0.7184114,-1.1147413,2.77895,-2.3747854,-0.34176198,1.1256647,-0.8288065,3.8032002,-1.0953029,-0.7374292,-0.85831094,-0.97527325,1.3241116,-0.6188271,2.3527043,2.0853415,-2.500443,1.4345912,0.79333925,1.8939048,0.48820457,1.3387312,1.6734331,1.2089527,-1.0739071,2.6915917,1.732209,0.52311546,-1.2652131,-0.28665233,-0.45991027,-1.9509188,-0.17434469,0.28240022,0.7684862,1.1518141,-2.1583674,-1.8211496,-0.00870868,-0.35106897,-0.12182021,1.5889245,-1.1631094,0.11643181,1.8103981,-1.2300751,-1.7666638,-1.2428776,151.789993,161.470001,79.440002,104.760002,111.480003,45.139999,139.020004,43.630001,171.779999,946.02002,62.75,243.25,219.990005,292.299988,82.580002,32.610001,131.649994,64.629997,109.029999,389.230011,52.169998,133.860001,31.540001,133.899994,40.34,49.5,69.959999,22.809999,21.52,56.66,80.379997,118.730003,34.810001,61.169998,142.529999,41.580002,167.240005,122.830002,26.76,27.25,65.18,913.809998,31.49,94.629997,84.790001,37.490002,197.050003,123.540001,34.650002,137.899994,328.666656,99.120003,40.349998,91.540001,32.689999,5.58,33.779999,22.15,242.539993,100.709999,16.469999,41.299999,55.16,72.830002,198.059998,45.139999,63.720001,57.880001,167.119995,266.829987,164.970001,56.490002,1789.910034,51.810001,479.220001,59.02,146.300003,100.699997,54.400002,58.959999,79.230003,5838.080078
-0.4539125,-3.2048366,0.13974772,-0.3704314,2.4036243,-0.77420354,0.22444749,-4.009051,-1.9178038,-0.5071873,3.0680642,-3.306417,2.6442654,-1.5475522,2.2749255,-2.059764,-3.8915625,-0.3985772,2.9280734,1.4288342,0.63132966,-0.5922887,1.09137,-1.4495071,2.583505,-0.91928226,0.67371756,1.7210101,1.8239778,-0.015423588,-4.500974,1.2681011,2.2154737,1.5469161,-0.79049194,-3.2524564,1.0053817,-1.8035866,0.5817846,0.43483382,-1.6275729,-3.4081979,-0.6404983,-1.8439559,-0.4299013,-1.6948141,3.0965846,2.5463274,2.7279212,-1.1985589,-0.28132606,1.6984012,0.347077,2.0137894,1.2262261,1.4574144,3.2420802,-1.6613744,0.60593015,-2.7370663,-2.4620245,-1.1885206,-1.2859533,2.8398714,0.34948635,4.380409,0.7377853,-0.8608533,3.2187433,2.0922146,1.518763,1.4678949,-1.0944041,-3.282816,-1.1561023,-2.809432,4.474388,-0.16859342,-1.1178145,-1.3628051,3.689474,0.8732855,1.4670583,-2.2071493,1.7611853,2.3074787,-5.4883394,1.5627444,-0.4736302,0.0939926,-0.60128856,-1.9113395,-1.6201509,1.8463699,3.4142168,0.08918936,-0.52567357,2.9411623,-0.52683544,-0.8642974,-2.520002,1.989623,-1.0098268,-1.5683123,3.908297,-3.3389623,-0.48064083,1.5865015,-1.166794,5.34212,-1.5392498,-1.035792,-1.2132895,-1.3707955,1.8606739,-0.86783504,3.3038456,2.934016,-3.51738,2.0133336,1.1130754,2.6602435,0.6856582,1.8841932,2.3528674,1.6963415,-1.5075493,3.7880416,2.4381452,0.7306912,-1.7875242,-0.40141153,-0.6458796,-2.7449198,-0.249699,0.39789736,1.0860646,1.6249008,-3.0376773,-2.5618603,-0.015942683,-0.4940487,-0.16743019,2.2355092,-1.6382539,0.16839811,2.5451522,-1.7296736,-2.4867868,-1.7520837,152.139999,162.910004,79.550003,105.120003,111.269997,45.709999,138.380005,44.02,172.229996,954.059998,63.48,241.729996,220.690002,293.579987,82.980003,32.669998,132.440002,65.269997,109.050003,388.820007,52.16,132.970001,31.48,135.25,40.16,49.779999,69.650002,22.450001,21.18,57.77,79.699997,119.230003,35.200001,61.380001,143.990005,41.41,168.050003,123.019997,26.91,27.35,65.760002,921.289978,31.450001,94.830002,84.214996,37.77,195.940002,124.970001,34.73,138.009995,329.133331,100.059998,40.84,92.389999,32.59,5.63,33.59,21.99,240.899994,100.230003,16.110001,41.889999,55.369999,73.050003,197.020004,44.75,63.470001,57.639999,168.809998,265.149994,164.699997,56.59,1807.060059,51.810001,479.029999,58.689999,145.509995,101.519997,54.099998,58.759998,79.519997,5862.140137
-0.31561562,-2.2264106,0.09926497,-0.25565282,1.6674207,-0.5341069,0.15274723,-2.780749,-1.3309437,-0.35251904,2.1305494,-2.2932837,1.8393078,-1.0718596,1.578711,-1.4312834,-2.7023997,-0.28016236,2.0317533,0.9916848,0.43835735,-0.41210765,0.7564453,-1.0069427,1.7878155,-0.63730145,0.46451956,1.1931305,1.2657343,-0.006975607,-3.1144915,0.8734096,1.5358986,1.0730673,-0.5446218,-2.256557,0.6950395,-1.2499541,0.404576,0.30102396,-1.127458,-2.3610024,-0.44439992,-1.2765907,-0.29877743,-1.1771901,2.140795,1.765432,1.8896382,-0.83238035,-0.19476695,1.1793994,0.24290873,1.3889947,0.8479379,1.0083178,2.247906,-1.1484127,0.42017478,-1.8948885,-1.7073137,-0.8209644,-0.8884894,1.9652969,0.24346025,3.0336268,0.5141025,-0.59266764,2.2301984,1.4469296,1.0532123,1.0133168,-0.7587731,-2.2707095,-0.8020856,-1.9459611,3.0963132,-0.113412954,-0.7745805,-0.9454681,2.5588698,0.59959984,1.0137695,-1.531567,1.2191253,1.5966839,-3.7993822,1.0847507,-0.3284131,0.06208846,-0.412577,-1.3277484,-1.1199847,1.2818625,2.3672113,0.0591017,-0.36721596,2.03318,-0.3652669,-0.5997275,-1.7426425,1.3763258,-0.704272,-1.0884844,2.707987,-2.3113282,-0.33458582,1.0999249,-0.80678165,3.7008085,-1.0633795,-0.71751636,-0.8379379,-0.9511809,1.2880718,-0.6050458,2.289832,2.0348802,-2.439704,1.3966945,0.7721176,1.8401588,0.47775227,1.3010101,1.629982,1.1731604,-1.0443769,2.6236682,1.6801853,0.5080359,-1.233439,-0.28117868,-0.44767705,-1.8969278,-0.17044944,0.2709168,0.7477406,1.1221466,-2.0927873,-1.7666699,-0.012089443,-0.33987027,-0.115013614,1.5421263,-1.1299472,0.11663882,1.7550789,-1.1923938,-1.715231,-1.212571,153.669998,163.350006,83.720001,105.93,113.290001,46.470001,138.449997,45.470001,173.649994,967.590027,65.68,246.020004,223.880005,303.75,87.650002,32.93,134.339996,66.129997,110.169998,393.369995,52.720001,133.770004,31.99,136.100006,40.82,50.41,69.669998,22.190001,20.85,57.200001,79.720001,121.970001,35.689999,61.529999,143.440002,42.060001,169.919998,123.209999,27.01,27.450001,66.089996,929.570007,31.5,95.279999,84.809998,37.919998,199.740005,138.270004,34.889999,139.970001,332.013336,99.779999,41.939999,93.529999,32.810001,5.7,33.810001,22.07,246.75,103.639999,16.120001,41.630001,55.950001,74.010002,198.089996,45.560001,64.25,58.220001,174.690002,275.570007,165.679993,56.619999,1813,52.119999,487.119995,58.43,145.770004,103.940002,54.52,58.950001,80.160004,5932.899902
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.160004,164,83.669998,106.470001,114.459999,47.150002,142.410004,45.119999,177.770004,980.599976,65.559998,252.070007,228.050003,316.559998,90.190002,33.18,138.929993,67.779999,111.870003,398.540009,51.450001,135.009995,32.209999,138.990005,40.610001,50.200001,70.769997,22.209999,21.01,57.290001,79.639999,121.5,36.130001,62.82,148.360001,42.669998,171.970001,123.709999,27.1,27.59,66.059998,939.330017,31.530001,98.25,86.839996,38.599998,204.460007,137.410004,35.07,141.449997,334.890015,98.889999,41.91,93.690002,33.029999,5.75,34,22.120001,258.470001,103.580002,16.219999,40.66,55.82,74.769997,196.130005,46.66,64.709999,59.459999,174.710007,275.839996,169.440002,57.029999,1852.079956,52.27,496.899994,58.450001,149.389999,105.360001,54.860001,59.509998,81.050003,5988.600098
-0.42431685,-3.0087693,0.12978235,-0.34684375,2.2540464,-0.72113293,0.20743793,-3.7542264,-1.8005713,-0.48077032,2.8750696,-3.0983348,2.4858081,-1.4548293,2.1364136,-1.92899,-3.6528,-0.3769534,2.7463381,1.3376997,0.59164524,-0.5557047,1.0218269,-1.3629627,2.4215426,-0.8674648,0.63045806,1.608594,1.7097572,-0.013882495,-4.2174525,1.1866268,2.077381,1.4520816,-0.74230886,-3.04897,0.93770945,-1.6885817,0.5447349,0.40746573,-1.5288241,-3.2010882,-0.599762,-1.7274804,-0.40437526,-1.5917628,2.8988059,2.3882308,2.5527103,-1.1241857,-0.26316097,1.58968,0.32804632,1.8834263,1.1503453,1.3632686,3.0372539,-1.5535641,0.56435525,-2.5589712,-2.3055801,-1.1137165,-1.201295,2.657892,0.32460687,4.092797,0.6955845,-0.80351514,3.007486,1.9555166,1.414113,1.3721107,-1.0254921,-3.071523,-1.079076,-2.6259727,4.1848726,-0.1573724,-1.0445045,-1.277438,3.4501834,0.81217456,1.3712125,-2.0639915,1.6409644,2.1601436,-5.1311083,1.4609996,-0.4427944,0.085021935,-0.56343424,-1.793097,-1.5129141,1.7278558,3.1982322,0.08145814,-0.4933018,2.750585,-0.49415636,-0.8123327,-2.3509111,1.8634211,-0.94566745,-1.4700017,3.6555302,-3.1195073,-0.4502147,1.4850342,-1.0903553,4.9975767,-1.4409734,-0.96935844,-1.1315435,-1.2844387,1.7400707,-0.81271046,3.089892,2.745127,-3.2893388,1.8894812,1.0396007,2.486639,0.6445669,1.760487,2.2024477,1.5879639,-1.4106588,3.5406334,2.2768247,0.683899,-1.6671534,-0.37648374,-0.60535747,-2.5639725,-0.23051001,0.37125072,1.0159032,1.5160053,-2.83653,-2.395843,-0.0147254,-0.45690173,-0.15654238,2.0933433,-1.5323467,0.15955998,2.3808157,-1.6207515,-2.3257632,-1.6411078,155.059998,164.050003,84.379997,107.349998,113.709999,47.080002,144.080002,45.099998,178.710007,978.25,65.120003,252.729996,232.639999,321.01001,90.669998,33.259998,139.380005,68.279999,110.889999,392.480011,50.630001,134.559998,32.299999,143.419998,41.060001,49.779999,70.830002,22.16,20.92,58.470001,81.059998,119.309998,36.349998,62.16,148.229996,42.48,172.020004,123,26.98,27.49,65.989998,937.340027,31.799999,98.339996,86.764999,38.509998,207.149994,138.029999,35.09,141.899994,335.583344,99.349998,41.990002,94.080002,33,5.69,33.900002,22.719999,251.910004,103.800003,16.48,40.880001,56.080002,73.940002,196.990005,46.990002,64.160004,58.540001,174.740005,269.890015,170.460007,57.07,1850.819946,52.049999,504,58.919998,151.839996,105.57,54.93,59.540001,80.980003,5987.899902
