.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4793.9,22567.81,17.131,0.25,20726.18,4.069,66220.04,0.67,0.24906,11343.43,5302.99,2.363,5695.32,1.65,0.816,0.5,1.339,25.41,1096.78,0.5,1.6107,1.0575,3.373,3820.78,0.71,0.9007,2522.76,3.218,4.551,11373.4,1.0413,3.384,1802.39,2210.8,1540.5,3.914,10196.86,3.474,89.89,5302.99,1.4137,1095.2,25,98.86,75.26,3.63
4726.6,22373.09,16.428,0.25,20598.55,4.037,65069.79,0.669,0.24875,11354.51,5260.31,2.39,5631.37,1.65,0.915,0.5,1.306,23.14,1097.5,0.5,1.624,1.0581,3.383,3781.85,0.7138,0.904,2499.23,3.214,4.564,11249.3,1.0394,3.2145,1818.9,2221.41,1486.1,3.906,10236.16,3.449,90.23,5260.31,1.415,1084.4,22,99.26,73.67,3.65
4707.4,21997.59,16.202,0.25,20033.07,4.079,65587.8,0.665,0.24875,11344.11,5217.47,2.395,5643.2,1.65,0.863,0.5,1.317,23.73,1084.53,0.5,1.6161,1.0639,3.369,3759.8,0.7058,0.8947,2488.82,3.207,4.552,11042.2,1.0501,3.09,1771.1,2179,1489.2,3.891,10120.46,3.452,90,5217.47,1.4017,1083.6,21,99.3,73.64,3.642
4676.1,21603.13,16.183,0.25,20356.37,4.132,65401.77,0.665,0.24875,11274.2,5145.74,2.325,5540.33,1.65,0.816,0.5,1.33,24.62,1073.87,0.5,1.6123,1.0665,3.326,3688.79,0.7035,0.8932,2454.12,3.199,4.493,10829.3,1.0524,3.046,1741.04,2147.35,1501.3,3.925,10067.33,3.461,89.88,5145.74,1.3962,1083,21,98.11,72.89,3.588
4656.7,21896.29,16.653,0.25,20121.99,4.107,66571.73,0.665,0.24906,11094.31,5188.52,2.377,5608.79,1.65,0.855,0.5,1.337,22.59,1089.19,0.5,1.6002,1.0696,3.35,3739.46,0.701,0.8845,2478.51,3.19,4.568,10947.7,1.0604,3.0785,1760.72,2171.2,1534.6,3.9,10185.53,3.468,90.3,5188.52,1.3862,1104.3,21,97.14,74.43,3.656
4588.5,22012,16.736,0.25,20243.75,4.039,67163.2,0.665,0.24906,11317.55,5247.41,2.36,5654.48,1.65,0.855,0.5,1.355,21.48,1103.32,0.5,1.5954,1.0616,3.382,3762.01,0.7091,0.8915,2490.83,3.185,4.553,10995.2,1.0556,3.085,1776.92,2190.06,1574.5,3.893,10296.85,3.445,90.62,5247.41,1.3927,1117.4,20,98.46,77.23,3.639
4605.4,22413.74,16.31,0.25,20272.18,4.056,67108.55,0.665,0.25031,11408.34,5283.31,2.407,5709.66,1.65,0.883,0.5,1.365,21.6,1097.28,0.5,1.5973,1.0579,3.384,3812.13,0.7118,0.8865,2512.2,3.2,4.638,11140.9,1.055,2.968,1784.7,2190.91,1571.9,3.914,10270.55,3.455,90.38,5283.31,1.3961,1111.4,19,99.68,76.98,3.707
4656.9,22169.25,15.343,0.25,20722.08,4.06,63934.01,0.665,0.24906,11390.46,5253.15,2.303,5672.09,1.65,0.807,0.5,1.379,26.08,1063.11,0.5,1.5897,1.0621,3.428,3793.47,0.7069,0.8828,2495.82,3.226,4.549,10888.4,1.059,2.8755,1732.99,2125.43,1511.5,3.906,10002.18,3.474,90.97,5253.15,1.3898,1062.4,18,99.16,73.14,3.61
4640,21404.82,14.823,0.25,20341.64,4.071,62762.7,0.665,0.24875,11128.76,5139.31,2.24,5533.24,1.65,0.771,0.5,1.364,26.11,1066.19,0.5,1.5749,1.0724,3.365,3689.25,0.6863,0.8638,2425.13,3.159,4.523,10241.7,1.0663,2.854,1746.12,2141.12,1471.3,3.885,10012.23,3.524,88.95,5139.31,1.3734,1052.2,20,96.11,71.19,3.571
4584.4,20815.88,15.078,0.25,19665.08,4.067,63153.09,0.663,0.24969,11223.12,5060.92,2.228,5434.34,1.65,0.763,0.5,1.36,26.51,1056.74,0.5,1.5633,1.0685,3.359,3563.76,0.6874,0.8674,2373.24,3.114,4.496,10103.3,1.0731,2.9095,1734.88,2126.05,1477.2,3.882,9908.39,3.506,89.33,5060.92,1.3662,1065.7,21,96.35,71.89,3.562
