date,rate
1998-02-04,-1
1998-03-31,-1
1998-05-19,-1
1998-07-01,-1
1998-08-18,-1
1998-09-29,-1
1998-11-17,-1
1998-12-22,-1
1999-02-02,-1
1999-03-30,-1
1999-05-18,-1
1999-06-30,-1
1999-08-24,-1
1999-10-05,-1
1999-11-16,-1
1999-12-21,-1
